
adc_clk_f should be 600000, is 600000 . sample_f should be 8000, is 8000. hclk is 48000000
1442, -17, -10
1443, 40, -4
1444, -6, 4
1445, 25, 18
1446, 16, -2
1447, 21, -34
1448, 18, -1
1449, 21, 46
1450, 33, 8
1451, 11, -41
1452, 49, 0
1453, 15, 34
1454, 31, -17
1455, 9, -39
1456, 16, 26
1457, 26, 50
1458, -15, -11
1459, 6, -42
1460, -2, -8
1461, -2, 20
1462, -43, 10
1463, -27, -10
1464, -23, -10
1465, -39, 19
1466, -69, 20
1467, -49, -40
1468, -43, -49
1469, -79, 44
1470, -63, 65
1471, -70, -48
1472, -55, -69
1473, -83, 50
1474, -68, 56
1475, -91, -70
1476, -41, -48
1477, -83, 81
1478, -78, 35
1479, -52, -97
1480, -60, -33
1481, -67, 94
1482, -63, 25
1483, -61, -85

